Clay,Stir_Time,TRE100,Res_NTU,Perc_Red,Time,Red_Eff,TimeCat,Mean,StDev,,Clay,Stir_Time,TRE100,Res_NTU,Perc_Red,Time,Red_Eff,Mean,StDev,,TRE Min,TRE Max,Clay,Stir_Time,Mean,StDev,,"Table # | Means, standard deviations, and differences iacross mixing time means (DiffMeans) among clay types. Higher positive DiffMeans indicate better returns on investment of mixing time within that clay type.",,,,,,,,,,
Kaolin,10s,12.05,24.9,97.1,9,10.79,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,10s,12.15,22.0,97.5,9,10.83,1,10.92,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,30s,24.77,21.9,97.5,6,16.25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,30s,24.92,17.8,97.9,6,16.32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,30s,28.04,25.4,97.1,5.5,17.65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,30s,28.04,25.0,97.1,5.5,17.65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,30s,32.34,22.8,97.5,5,19.50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,30s,32.34,21.7,97.5,5,19.50,2,28.41,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,1m,28.17,23.0,97.4,5.5,17.71,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,1m,28.21,21.6,97.5,5.5,17.73,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,1m,28.25,20.4,97.6,5.5,17.75,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,1m,28.25,20.6,97.6,5.5,17.75,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,1m,32.20,24.8,97.2,5,19.44,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,1m,32.20,24.3,97.2,5,19.44,3,29.54,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,5m,44.04,16.6,98.1,4,24.53,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,5m,62.54,22.8,97.4,3,32.47,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,5m,62.62,21.6,97.5,3,32.50,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,5m,63.00,17.4,98.0,3,32.67,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,5m,63.16,15.4,98.2,3,32.73,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,5m,77.57,24.1,97.3,2.5,38.92,4,62.16,10.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaolin,10m,43.63,23.0,97.4,4,24.35,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
