Clay,Stir_Time,Stir_time_min,Res_NTU,Perc_Red_Tar,Time,TRE,Perc_Red,Red_Eff,,Variable,Avg,Std. Dev.,,Clay,Stir_Time,Res_NTU,Perc_Red_Tar,Time,TRE,Perc_Red,Red_Eff,,Variable,Avg,Std. Dev.
Bentonite,1 min,1,242,74.23,12,6.19,72.1,6.01,,,,,,Kaolin,Control,428,51.9,9.5,5.46,50.5,5.32,,,,
Bentonite,5 min,5,267,72.00,12,6.00,67.4,5.62,,Time,12,0,,Rhassoul,Control,241,73.82,8,9.23,71.6,8.95,,Time,9.08,0.79
Bentonite,5 min,5,254,72.48,12,6.04,69.3,5.78,,Res_NTU,261.67,11.40,,Rhassoul,Control,203,78.37,10,7.84,76.1,7.61,,Res_NTU,217.50,12.59
Bentonite,5 min,5,281,69.00,12,5.75,69.8,5.82,,%_red,69.9,1.4,,Rhassoul,Control,223,76.14,10,7.61,73.9,7.39,,%_red,74.3,1.5
Bentonite,5 min,5,255,73.00,12,6.08,70.4,5.87,,R(TAR) %,71.96,1.57,,Rhassoul,Control,207,78.02,9.5,8.21,75.7,7.97,,R(TAR) %,76.64,1.54
Bentonite,5 min,5,246,74.00,12,6.17,70.6,5.88,,TRE,6.00,0.13,,Rhassoul,Control,211,77.48,8.5,9.12,75.0,8.82,,TRE,8.491666667,0.64
Bentonite,5 min,5,267,71.29,12,5.94,72.0,6.00,,,,,,Rhassoul,Control,220,76.01,8.5,8.94,73.7,8.67,,,,
Bentonite,10 min,10,224,76.00,12,6.33,67.6,5.63,,Time,12,0,,,,,,,,,,,,,
Bentonite,10 min,10,239,74.61,12,6.22,67.6,5.63,,Res_NTU,258.67,22.58,,,,,,,,,,,,,
Bentonite,10 min,10,252,73.54,12,6.13,69.2,5.77,,%_red,70.4,2.6,,,,,,,,,,,,,
Bentonite,10 min,10,268,71.17,12,5.93,70.9,5.91,,R(TAR) %,72.48,2.40,,,,,,,,,,,,,
Bentonite,10 min,10,286,69.54,12,5.80,72.4,6.03,,TRE,6.04,0.20,,,,,,,,,,,,,
Bentonite,10 min,10,283,70.00,12,5.83,74.7,6.23,,,,,,,,,,,,,,,,,
Green Sea,10 sec,0.17,21.1,100.65,9,12.58,96.9,10.77,,Time,7.92,0.61,,,,,,,,,,,,,
Green Sea,10 sec,0.17,20.1,100.82,8,11.2,96.6,12.08,,Res_NTU,20.37,2.56,,,,,,,,,,,,,
Green Sea,10 sec,0.17,24.9,100.02,8,14.29,97.1,12.14,,%_red,96.80,0.41,,,,,,,,,,,,,
Green Sea,10 sec,0.17,18.5,101.08,8,12.64,97.4,12.18,,R(TAR) %,100.77,0.42,,,,,,,,,,,,,
Green Sea,10 sec,0.17,16.6,101.38,7.5,12.67,96.7,12.89,,TRE,12.8,0.94,,,,,,,,,,,,,
Green Sea,10 sec,0.17,21.0,100.66,7,13.42,96.1,13.73,,,,,,,,,,,,,,,,,
Green Sea,30 sec,0.5,19.4,100.9,6.5,16.82,96.4,14.83,,Time,5.83,0.47,,,,,,,,,,,,,
Green Sea,30 sec,0.5,22.5,100.42,6,20.08,96.1,16.02,,Res_NTU,21.67,1.90,,,,,,,,,,,,,
Green Sea,30 sec,0.5,24.2,100.1,6,16.69,96.9,16.15,,%_red,96.47,0.37,,,,,,,,,,,,,
Green Sea,30 sec,0.5,22.9,100.4,6,15.44,97.0,16.17,,R(TAR) %,100.56,0.31,,,,,,,,,,,,,
Green Sea,30 sec,0.5,18.9,101.0,5.5,16.84,96.0,17.45,,TRE,17.36,1.47,,,,,,,,,,,,,
Green Sea,30 sec,0.5,22.1,100.5,5,18.27,96.4,19.28,,,,,,,,,,,,,,,,,
Green Sea,1 min,1,17.9,101.2,6,16.86,96.6,16.10,,Time,5.58,0.45,,,,,,,,,,,,,
Green Sea,1 min,1,21.9,100.52,6,20.1,97.2,16.20,,Res_NTU,20.18,1.96,,,,,,,,,,,,,
Green Sea,1 min,1,20.7,100.7,6,20.15,97.3,16.22,,%_red,96.78,0.33,,,,,,,,,,,,,
Green Sea,1 min,1,21.4,100.6,5.5,16.77,96.5,17.55,,R(TAR) %,100.80,0.32,,,,,,,,,,,,,
Green Sea,1 min,1,17.1,101.3,5,16.89,96.5,19.30,,TRE,18.17,1.47,,,,,,,,,,,,,
Green Sea,1 min,1,22.1,100.5,5,18.27,96.6,19.32,,,,,,,,,,,,,,,,,
